id	filename	md5	size	state
20ca5068-e338-4917-820f-b0543a1364be	AMISS_p_TCGAb24_SNP_N_GenomeWideSNP_6_H01_542404.grch38.seg.v2.txt	4d4f6ceceaa0909aae2c215927936622	59210	released
b98d3fc8-4701-47ac-9182-134d4762c5a1	TOUSE_p_TCGAaffxB9_10a_N_GenomeWideSNP_6_A09_397028.grch38.seg.v2.txt	095f08572b6cc5704f4e140239ecb64e	30959	released
b6c507ee-03d9-40e0-ae02-b8185d9e4dc4	AMISS_p_TCGAb24_SNP_N_GenomeWideSNP_6_E06_542570.grch38.seg.v2.txt	733050e23dae5e8df463179ad8698f34	61236	released
f8ea870a-f4a3-4162-aea6-0afedffffe52	SOURS_p_TCGAb22_SNP_N_GenomeWideSNP_6_D12_529870.grch38.seg.v2.txt	9f03277298291b9b6bc09a25cdea635c	26641	released
eb03fe4b-5555-4388-bcd8-45d7eea9d17b	COOKY_p_TCGAb15_ICPp3_061909_GenomeWideSNP_6_C12_465794.grch38.seg.v2.txt	9c4cc4428a0f43cf76451a74026765e5	42911	released
90c78cd0-2755-4d14-97e4-29176946f3be	NEWLY_p_TCGA_Batch13_CN_GenomeWideSNP_6_B04_446230.grch38.seg.v2.txt	695e20176e844931b8d0849283e4f418	64056	released
3be6e218-6765-46a5-84f6-66f6befca705	COOKY_p_TCGAb15_ICPp3_061909_GenomeWideSNP_6_B08_465828.grch38.seg.v2.txt	bc9b70d1cbf17177b6e19cef92b4570c	95301	released
e9e8a16e-764c-49a0-a7dc-890ec094cbfa	AMISS_p_TCGAb24_SNP_N_GenomeWideSNP_6_G07_542572.grch38.seg.v2.txt	3ea9bfa22eb41f5898390ac0752e7778	19928	released
a068c5b9-be63-4be2-b70f-358c53e9e622	THETA_p_TCGA_Batch14_SNP_N_GenomeWideSNP_6_H10_455218.grch38.seg.v2.txt	15245d074f921224fd4c360c74c5a229	9730	released
86ff69c2-6fd6-4546-afb2-de99b681c037	MATZO_p_TCGAb40_SNP_1N_GenomeWideSNP_6_D02_667728.grch38.seg.v2.txt	7e4ea19b08590a2a39bf0cf6bed0855c	29219	released
9731f677-f2ef-4b7e-b3c6-3004ce43356e	MATZO_p_TCGAb40_SNP_1N_GenomeWideSNP_6_G01_667680.grch38.seg.v2.txt	e7600e7423cc2ebf5d3aa7f6de7d40ee	168780	released
845d6c4b-b195-42ec-ae00-d10c60c04ac4	URBAN_p_TCGA_ProtVal_SNP_N_GenomeWideSNP_6_A05_592060.grch38.seg.v2.txt	11e1e6a9c97224b78e0fdc6c4fa27b37	76148	released
c9b605ea-1671-44fe-8cc4-5a8c275e078c	QUANT_p_TCGA_Batch12_AFFX_GenomeWideSNP_6_E04_437740.grch38.seg.v2.txt	c03c78bd2a7ce8caa629c0199ed56bfb	128319	released
f3129537-b9e5-4613-8c36-bbc83e7110c5	THETA_p_TCGA_Batch14_SNP_N_GenomeWideSNP_6_C10_455330.grch38.seg.v2.txt	a732d1bcf569b824c1740fdcb0bac993	8560	released
80e68171-3dbd-414c-9053-c2f9b2fac440	QUANT_p_TCGA_Batch12_AFFX_GenomeWideSNP_6_A05_437632.grch38.seg.v2.txt	6442a0465fb43eba9fbbb21fea65b852	51711	released
7ee77f0a-530a-49b5-881e-ba1cb0994a1c	COTES_p_TCGAaffxB8_9a_S_GenomeWideSNP_6_H05_293072.grch38.seg.v2.txt	9e75838564a7de7ecd120453b1c6bdee	23907	released
6816e12e-4012-4094-8d73-8840683936b9	SAROS_p_TCGA_B18_SNP_N_GenomeWideSNP_6_D03_489672.grch38.seg.v2.txt	5b1c2395739ae39735bf19967fde8fd5	94798	released
25f8d4a3-f217-4459-bcbb-fc8f43e4510f	ROOTY_p_TCGAb27and38_SNP_N_GenomeWideSNP_6_B09_584642.grch38.seg.v2.txt	6928e69283093be66262f57e20e01369	678245	released
3f029e40-2cc0-4b0d-b841-450b68879ba3	AMISS_p_TCGAb24_SNP_N_GenomeWideSNP_6_E05_542414.grch38.seg.v2.txt	06984804a67471a963b89b26a07f689c	67449	released
16132ac1-7bb0-4abd-bf9e-96f3a2b693ab	TOUSE_p_TCGAaffxB9_10a_N_GenomeWideSNP_6_A11_397032.grch38.seg.v2.txt	7ad4817517d90e48262f0ea166d2902f	33199	released
650a86c2-4f4d-4da8-a79a-8af5bbbb199b	COOKY_p_TCGAb15_ICPp3_061909_GenomeWideSNP_6_C11_465796.grch38.seg.v2.txt	e46b358d1d87f5bc9eeab9b5da19fdd8	58482	released
c6193adc-370d-4301-9595-981d96e58d29	THING_p_TCGA_B19_SNP_N_GenomeWideSNP_6_A12_495118.grch38.seg.v2.txt	b6a01a17db347f0de9cce4b8a78e0128	20939	released
287df341-fea3-4826-8a4a-ce4a0d966089	THETA_p_TCGA_Batch14_SNP_N_GenomeWideSNP_6_C03_455318.grch38.seg.v2.txt	e80c472333ec4e5e2dead3b73dc2b1ae	56491	released
404bd8be-60ed-496b-8fd5-a4a2ec01b0a5	SOURS_p_TCGAb22_SNP_N_GenomeWideSNP_6_G06_529898.grch38.seg.v2.txt	2d8ffd29048515f90cb9969bbfd02dd8	62774	released
7c42c810-1d1b-402d-89be-8edc0aef8aa8	ACOLD_p_TCGA_Batch17_SNP_N_GenomeWideSNP_6_D07_466154.grch38.seg.v2.txt	37cb7655cb23c341318be8d6376e8943	41602	released
6ba04ded-a479-4814-aca0-55a808683902	COTES_p_TCGAaffxB8_9a_S_GenomeWideSNP_6_H07_293076.grch38.seg.v2.txt	98d0ec63e388cdf677e3bfcbd7a624f6	18756	released
2863f671-483b-4316-b387-38ddf2ea3499	THING_p_TCGA_B19_SNP_N_GenomeWideSNP_6_E05_495068.grch38.seg.v2.txt	e0f2cc947fd3c6c252e3844f297fd8e3	51227	released
870e4d12-db72-45a0-8142-3dc2e895d276	THETA_p_TCGA_Batch14_SNP_N_GenomeWideSNP_6_A01_455182.grch38.seg.v2.txt	1f12c08371577e85770f3e59ce14fc84	28196	released
953e4022-37ff-4444-9a6d-a094988a1fdd	SOURS_p_TCGAb22_SNP_N_GenomeWideSNP_6_H03_529894.grch38.seg.v2.txt	e388a583627166201d9f3213b82c4ad6	108305	released
8c8d20ca-927c-491d-93f1-3a5fdf8499d9	COOKY_p_TCGAb15_ICPp3_061909_GenomeWideSNP_6_C09_465800.grch38.seg.v2.txt	09be792f5f70d4e63b2940b41a2e5e6a	34202	released
506a4767-b28e-48e7-aaa5-326c1c6c0732	QUANT_p_TCGA_Batch12_AFFX_GenomeWideSNP_6_F10_437746.grch38.seg.v2.txt	d577086da6c3e136e0fa686ec089e5fd	31413	released
bfe4d090-b249-4442-a223-3d8ba8a2c1f0	AMISS_p_TCGAb24_SNP_N_GenomeWideSNP_6_E03_542386.grch38.seg.v2.txt	45d5d22d82cff1e3fac5eb2a2f96ba30	104890	released
